id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9678,55.0,1.4583841275465157,0.0036367593445893655,0.34395420699208795,5.0,21.0
9679,59.0,1.1832389145166833,0.0045912257962261085,0.21988187287646516,7.0,17.0
9680,56.0,1.3860157793692085,0.005614635283835527,0.2926638259690656,5.0,28.0
9681,49.0,1.511773702510418,0.005903970628381251,0.35708946757414795,7.0,34.0
9682,49.0,1.454325301674186,0.00533852667129054,0.34132622557030917,6.0,42.0
9683,54.0,1.2821550753440827,0.006618730837778844,0.3187257991699268,7.0,10.0
9684,61.0,1.342795902874256,0.005843365784562079,0.31158296670841457,7.0,22.0
9685,63.0,1.2472351132067454,0.003923379883081136,0.1576558304604294,6.0,40.0
9686,60.0,1.141161194509657,0.003740304505912317,0.270250979487277,7.0,10.0
9687,53.0,1.4268722763912594,0.005233596158654212,0.37541621848172785,7.0,36.0
9688,47.0,1.2720619695399416,0.00268377575963208,0.28871863059593145,7.0,36.0
9689,59.0,1.1514389024935652,0.005056291975383686,0.1833830089593868,6.0,13.0
9690,58.0,1.4961904182990675,0.003731105158431971,0.3926139163415619,7.0,33.0
9691,59.0,1.1838770837187984,0.004608995140739847,0.18715817031196635,5.0,24.0
9692,54.0,1.3724969209841982,0.004930494870394192,0.37451563679922956,7.0,5.0
9693,60.0,1.3631969744795067,0.0041286869189545725,0.2680006219088387,6.0,31.0
9694,63.0,1.130853894451919,0.0034653924622175774,0.1898023307458553,7.0,30.0
9695,58.0,1.3389848776202908,0.005751152956672806,0.2553681934868004,6.0,42.0
9696,54.0,1.343070604215132,0.005516197906888709,0.29023865577210567,6.0,15.0
9697,57.0,1.4961784355472532,0.004090669495839791,0.349691610470691,6.0,16.0
9698,52.0,1.3462223477027948,0.004209551272492745,0.3337443970659534,7.0,17.0
9699,61.0,1.45813676567386,0.0035686528107820013,0.39051894526220476,5.0,9.0
9700,63.0,1.4957522836759831,0.0036158722326977886,0.3122247659085192,6.0,42.0
9701,54.0,1.235231989444945,0.006806900998803046,0.21959866216193935,6.0,13.0
9702,49.0,1.3790157825082032,0.004879227588957796,0.30706926878893115,7.0,33.0
9703,47.0,1.5323153309393998,0.004962648852662592,0.3738052762463574,7.0,18.0
9704,59.0,1.4791154288798671,0.00586054153557846,0.3705921877854537,5.0,30.0
9705,53.0,1.32669606161831,0.0052453258127517595,0.26088779897787806,6.0,28.0
9706,54.0,1.3225847752028876,0.003927038824907433,0.32138045604125925,7.0,33.0
9707,55.0,1.101969750849513,0.005159805333534215,0.17912189962796185,7.0,38.0
9708,60.0,1.4504106481599268,0.004265320816696319,0.3055746139486803,6.0,41.0
9709,47.0,1.0981301505163854,0.005924841155398934,0.13048068218035025,6.0,25.0
