,date,age,total_number,rV
2505,2021/10/4,45279,941,0.001221821
2506,2021/10/4,20-29,1575,0.001583112
2507,2021/10/4,30-39,1771,0.001542712
2508,2021/10/4,40-49,1602,0.001063818
2509,2021/10/4,50-59,1247,0.00077563
2510,2021/10/4,60-69,460,0.000384742
2511,2021/10/4,70-79,173,0.000175059
2512,2021/10/4,80-89,71,0.000115643
2513,2021/10/4,90+,21,0.000218336
3628,2021/10/5,45057,0,0
2514,2021/10/5,45279,863,0.001120543
2515,2021/10/5,20-29,1529,0.001536875
2516,2021/10/5,30-39,1710,0.001489576
2517,2021/10/5,40-49,1585,0.00105253
2518,2021/10/5,50-59,1181,0.000734578
2519,2021/10/5,60-69,447,0.000373869
2520,2021/10/5,70-79,175,0.000177082
2521,2021/10/5,80-89,60,9.77E-05
2522,2021/10/5,90+,18,0.000187145
3629,2021/10/6,45057,0,0
2523,2021/10/6,45279,754,0.000979015
2524,2021/10/6,20-29,1552,0.001559993
2525,2021/10/6,30-39,1729,0.001506126
2526,2021/10/6,40-49,1620,0.001075772
2527,2021/10/6,50-59,1173,0.000729602
2528,2021/10/6,60-69,440,0.000368014
2529,2021/10/6,70-79,174,0.000176071
2530,2021/10/6,80-89,70,0.000114014
2531,2021/10/6,90+,29,0.000301512
3630,2021/10/7,45057,0,0
2532,2021/10/7,45279,822,0.001067308
2533,2021/10/7,20-29,1572,0.001580096
2534,2021/10/7,30-39,1777,0.001547939
2535,2021/10/7,40-49,1700,0.001128896
2536,2021/10/7,50-59,1275,0.000793046
2537,2021/10/7,60-69,427,0.000357141
2538,2021/10/7,70-79,179,0.00018113
2539,2021/10/7,80-89,121,0.000197081
2540,2021/10/7,90+,23,0.00023913
3631,2021/10/8,45057,0,0
2541,2021/10/8,45279,894,0.001160795
2542,2021/10/8,20-29,1420,0.001427314
2543,2021/10/8,30-39,1758,0.001531388
2544,2021/10/8,40-49,1598,0.001061162
2545,2021/10/8,50-59,1275,0.000793046
2546,2021/10/8,60-69,435,0.000363832
2547,2021/10/8,70-79,160,0.000161904
2548,2021/10/8,80-89,94,0.000153104
2549,2021/10/8,90+,15,0.000155954
3632,2021/10/9,45057,0,0
2550,2021/10/9,45279,959,0.001245193
2551,2021/10/9,20-29,1102,0.001107676
2552,2021/10/9,30-39,1566,0.001364138
2553,2021/10/9,40-49,1455,0.000966202
2554,2021/10/9,50-59,1128,0.000701613
2555,2021/10/9,60-69,421,0.000352122
2556,2021/10/9,70-79,104,0.000105238
2557,2021/10/9,80-89,47,7.66E-05
2558,2021/10/9,90+,8,8.32E-05
3633,2021/10/10,45057,0,0
2559,2021/10/10,45279,414,0.000537549
2560,2021/10/10,20-29,496,0.000498555
2561,2021/10/10,30-39,658,0.000573182
2562,2021/10/10,40-49,666,0.000442262
2563,2021/10/10,50-59,508,0.000315974
2564,2021/10/10,60-69,154,0.000128805
2565,2021/10/10,70-79,46,4.65E-05
2566,2021/10/10,80-89,25,4.07E-05
2567,2021/10/10,90+,2,2.08E-05
3634,2021/10/11,45057,0,0
2568,2021/10/11,45279,944,0.001225716
2569,2021/10/11,20-29,1414,0.001421283
2570,2021/10/11,30-39,1614,0.00140595
2571,2021/10/11,40-49,1459,0.000968858
2572,2021/10/11,50-59,1085,0.000674867
2573,2021/10/11,60-69,409,0.000342086
2574,2021/10/11,70-79,171,0.000173035
2575,2021/10/11,80-89,78,0.000127044
2576,2021/10/11,90+,13,0.00013516
3635,2021/10/12,45057,0,0
2577,2021/10/12,45279,842,0.001093276
2578,2021/10/12,20-29,1503,0.001510741
2579,2021/10/12,30-39,1704,0.001484349
2580,2021/10/12,40-49,1519,0.001008702
2581,2021/10/12,50-59,1210,0.000752616
2582,2021/10/12,60-69,448,0.000374705
2583,2021/10/12,70-79,178,0.000180118
2584,2021/10/12,80-89,87,0.000141703
2585,2021/10/12,90+,19,0.000197542
3636,2021/10/13,45057,0,0
2586,2021/10/13,45279,795,0.00103225
2587,2021/10/13,20-29,1584,0.001592158
2588,2021/10/13,30-39,1887,0.00164376
2589,2021/10/13,40-49,1830,0.001215223
2590,2021/10/13,50-59,1411,0.000877638
2591,2021/10/13,60-69,548,0.000458345
2592,2021/10/13,70-79,222,0.000224642
2593,2021/10/13,80-89,89,0.00014496
2594,2021/10/13,90+,20,0.000207939
3637,2021/10/14,45057,0,0
2595,2021/10/14,45279,885,0.001149109
2596,2021/10/14,20-29,1697,0.00170574
2597,2021/10/14,30-39,1898,0.001653342
2598,2021/10/14,40-49,1867,0.001239793
2599,2021/10/14,50-59,1453,0.000903762
2600,2021/10/14,60-69,549,0.000459181
2601,2021/10/14,70-79,186,0.000188213
2602,2021/10/14,80-89,96,0.000156362
2603,2021/10/14,90+,28,0.000291115
3638,2021/10/15,45057,0,0
2604,2021/10/15,45279,979,0.001271161
2605,2021/10/15,20-29,1533,0.001540896
2606,2021/10/15,30-39,1770,0.001541841
2607,2021/10/15,40-49,1658,0.001101006
2608,2021/10/15,50-59,1375,0.000855246
2609,2021/10/15,60-69,472,0.000394779
2610,2021/10/15,70-79,157,0.000158868
2611,2021/10/15,80-89,69,0.000112385
2612,2021/10/15,90+,22,0.000228733
3639,2021/10/16,45057,0,0
2613,2021/10/16,45279,905,0.001175077
2614,2021/10/16,20-29,1188,0.001194119
2615,2021/10/16,30-39,1455,0.001267446
2616,2021/10/16,40-49,1334,0.000885851
2617,2021/10/16,50-59,1069,0.000664915
2618,2021/10/16,60-69,399,0.000333722
2619,2021/10/16,70-79,134,0.000135595
2620,2021/10/16,80-89,72,0.000117271
2621,2021/10/16,90+,4,4.16E-05
3640,2021/10/17,45057,0,0
2622,2021/10/17,45279,515,0.00066869
2623,2021/10/17,20-29,541,0.000543786
2624,2021/10/17,30-39,667,0.000581022
2625,2021/10/17,40-49,596,0.000395778
2626,2021/10/17,50-59,413,0.000256885
2627,2021/10/17,60-69,154,0.000128805
2628,2021/10/17,70-79,37,3.74E-05
2629,2021/10/17,80-89,14,2.28E-05
2630,2021/10/17,90+,5,5.20E-05
3641,2021/10/18,45057,0,0
2631,2021/10/18,45279,783,0.001016669
2632,2021/10/18,20-29,1049,0.001054403
2633,2021/10/18,30-39,1203,0.001047929
2634,2021/10/18,40-49,1099,0.000729798
2635,2021/10/18,50-59,800,0.000497598
2636,2021/10/18,60-69,359,0.000300266
2637,2021/10/18,70-79,155,0.000156844
2638,2021/10/18,80-89,76,0.000123786
2639,2021/10/18,90+,24,0.000249527
3642,2021/10/19,45057,0,0
2640,2021/10/19,45279,781,0.001014072
2641,2021/10/19,20-29,1025,0.001030279
2642,2021/10/19,30-39,1129,0.000983468
2643,2021/10/19,40-49,989,0.000656752
2644,2021/10/19,50-59,771,0.00047956
2645,2021/10/19,60-69,338,0.000282702
2646,2021/10/19,70-79,147,0.000148749
2647,2021/10/19,80-89,77,0.000125415
2648,2021/10/19,90+,16,0.000166351
3643,2021/10/20,45057,0,0
2649,2021/10/20,45279,766,0.000994596
2650,2021/10/20,20-29,889,0.000893579
2651,2021/10/20,30-39,1058,0.00092162
2652,2021/10/20,40-49,885,0.00058769
2653,2021/10/20,50-59,694,0.000431666
2654,2021/10/20,60-69,327,0.000273501
2655,2021/10/20,70-79,168,0.000169999
2656,2021/10/20,80-89,89,0.00014496
2657,2021/10/20,90+,18,0.000187145
3644,2021/10/21,45057,0,0
2658,2021/10/21,45279,737,0.000956942
2659,2021/10/21,20-29,855,0.000859404
2660,2021/10/21,30-39,1018,0.000886777
2661,2021/10/21,40-49,799,0.000530581
2662,2021/10/21,50-59,683,0.000424824
2663,2021/10/21,60-69,311,0.000260119
2664,2021/10/21,70-79,160,0.000161904
2665,2021/10/21,80-89,80,0.000130301
2666,2021/10/21,90+,22,0.000228733
3645,2021/10/22,45057,0,0
2667,2021/10/22,45279,734,0.000953046
2668,2021/10/22,20-29,785,0.000789043
2669,2021/10/22,30-39,956,0.000832769
2670,2021/10/22,40-49,809,0.000537222
2671,2021/10/22,50-59,667,0.000414872
2672,2021/10/22,60-69,283,0.0002367
2673,2021/10/22,70-79,153,0.000154821
2674,2021/10/22,80-89,79,0.000128673
2675,2021/10/22,90+,15,0.000155954
3646,2021/10/23,45057,0,0
2676,2021/10/23,45279,659,0.000855664
2677,2021/10/23,20-29,521,0.000523683
2678,2021/10/23,30-39,643,0.000560115
2679,2021/10/23,40-49,490,0.000325388
2680,2021/10/23,50-59,388,0.000241335
2681,2021/10/23,60-69,177,0.000148042
2682,2021/10/23,70-79,96,9.71E-05
2683,2021/10/23,80-89,43,7.00E-05
2684,2021/10/23,90+,9,9.36E-05
3647,2021/10/24,45057,0,0
2685,2021/10/24,45279,248,0.00032201
2686,2021/10/24,20-29,185,0.000185953
2687,2021/10/24,30-39,203,0.000176833
2688,2021/10/24,40-49,183,0.000121522
2689,2021/10/24,50-59,122,7.59E-05
2690,2021/10/24,60-69,59,4.93E-05
2691,2021/10/24,70-79,30,3.04E-05
2692,2021/10/24,80-89,10,1.63E-05
2693,2021/10/24,90+,6,6.24E-05
3648,2021/10/25,45057,0,0
2694,2021/10/25,45279,758,0.000984209
2695,2021/10/25,20-29,704,0.000707626
2696,2021/10/25,30-39,769,0.000669873
2697,2021/10/25,40-49,620,0.000411715
2698,2021/10/25,50-59,446,0.000277411
2699,2021/10/25,60-69,239,0.000199898
2700,2021/10/25,70-79,117,0.000118392
2701,2021/10/25,80-89,54,8.80E-05
2702,2021/10/25,90+,9,9.36E-05
3649,2021/10/26,45057,0,0
2703,2021/10/26,45279,701,0.000910198
2704,2021/10/26,20-29,560,0.000562884
2705,2021/10/26,30-39,714,0.000621963
2706,2021/10/26,40-49,481,0.000319411
2707,2021/10/26,50-59,395,0.000245689
2708,2021/10/26,60-69,231,0.000193207
2709,2021/10/26,70-79,121,0.00012244
2710,2021/10/26,80-89,62,0.000100984
2711,2021/10/26,90+,20,0.000207939
3650,2021/10/27,45057,0,0
2712,2021/10/27,45279,665,0.000863455
2713,2021/10/27,20-29,521,0.000523683
2714,2021/10/27,30-39,566,0.000493041
2715,2021/10/27,40-49,419,0.00027824
2716,2021/10/27,50-59,317,0.000197173
2717,2021/10/27,60-69,200,0.000167279
2718,2021/10/27,70-79,103,0.000104226
2719,2021/10/27,80-89,58,9.45E-05
2720,2021/10/27,90+,18,0.000187145
3651,2021/10/28,45057,0,0
2721,2021/10/28,45279,601,0.000780355
2722,2021/10/28,20-29,444,0.000446287
2723,2021/10/28,30-39,520,0.00045297
2724,2021/10/28,40-49,382,0.00025367
2725,2021/10/28,50-59,295,0.000183489
2726,2021/10/28,60-69,181,0.000151388
2727,2021/10/28,70-79,108,0.000109285
2728,2021/10/28,80-89,62,0.000100984
2729,2021/10/28,90+,26,0.000270321
3652,2021/10/29,45057,0,0
2730,2021/10/29,45279,590,0.000766073
2731,2021/10/29,20-29,377,0.000378942
2732,2021/10/29,30-39,432,0.000376314
2733,2021/10/29,40-49,362,0.000240388
2734,2021/10/29,50-59,295,0.000183489
2735,2021/10/29,60-69,153,0.000127968
2736,2021/10/29,70-79,94,9.51E-05
2737,2021/10/29,80-89,58,9.45E-05
2738,2021/10/29,90+,16,0.000166351
3653,2021/10/30,45057,0,0
2739,2021/10/30,45279,531,0.000689465
2740,2021/10/30,20-29,276,0.000277422
2741,2021/10/30,30-39,334,0.000290946
2742,2021/10/30,40-49,272,0.000180623
2743,2021/10/30,50-59,214,0.000133107
2744,2021/10/30,60-69,124,0.000103713
2745,2021/10/30,70-79,54,5.46E-05
2746,2021/10/30,80-89,37,6.03E-05
2747,2021/10/30,90+,7,7.28E-05
3654,2021/10/31,45057,0,0
2748,2021/10/31,45279,151,0.000196063
2749,2021/10/31,20-29,93,9.35E-05
2750,2021/10/31,30-39,104,9.06E-05
2751,2021/10/31,40-49,84,5.58E-05
2752,2021/10/31,50-59,66,4.11E-05
2753,2021/10/31,60-69,30,2.51E-05
2754,2021/10/31,70-79,15,1.52E-05
2755,2021/10/31,80-89,9,1.47E-05
2756,2021/10/31,90+,3,3.12E-05
3655,2021/11/1,45057,0,0
2757,2021/11/1,45279,295,0.000383036
2758,2021/11/1,20-29,157,0.000157809
2759,2021/11/1,30-39,159,0.000138504
2760,2021/11/1,40-49,138,9.16E-05
2761,2021/11/1,50-59,110,6.84E-05
2762,2021/11/1,60-69,63,5.27E-05
2763,2021/11/1,70-79,27,2.73E-05
2764,2021/11/1,80-89,14,2.28E-05
2765,2021/11/1,90+,1,1.04E-05
3656,2021/11/2,45057,0,0
2766,2021/11/2,45279,599,0.000777758
2767,2021/11/2,20-29,434,0.000436235
2768,2021/11/2,30-39,473,0.000412029
2769,2021/11/2,40-49,361,0.000239724
2770,2021/11/2,50-59,294,0.000182867
2771,2021/11/2,60-69,136,0.00011375
2772,2021/11/2,70-79,93,9.41E-05
2773,2021/11/2,80-89,42,6.84E-05
2774,2021/11/2,90+,14,0.000145557
3657,2021/11/3,45057,0,0
2775,2021/11/3,45279,578,0.000750491
2776,2021/11/3,20-29,365,0.00036688
2777,2021/11/3,30-39,415,0.000361505
2778,2021/11/3,40-49,351,0.000233084
2779,2021/11/3,50-59,268,0.000166695
2780,2021/11/3,60-69,138,0.000115423
2781,2021/11/3,70-79,105,0.000106249
2782,2021/11/3,80-89,50,8.14E-05
2783,2021/11/3,90+,16,0.000166351
3658,2021/11/4,45057,0,0
2784,2021/11/4,45279,535,0.000694659
2785,2021/11/4,20-29,344,0.000345772
2786,2021/11/4,30-39,440,0.000383283
2787,2021/11/4,40-49,350,0.00023242
2788,2021/11/4,50-59,256,0.000159231
2789,2021/11/4,60-69,156,0.000130478
2790,2021/11/4,70-79,94,9.51E-05
2791,2021/11/4,80-89,65,0.00010587
2792,2021/11/4,90+,9,9.36E-05
3659,2021/11/5,45057,0,0
2793,2021/11/5,45279,646,0.000838785
2794,2021/11/5,20-29,385,0.000386983
2795,2021/11/5,30-39,457,0.000398091
2796,2021/11/5,40-49,343,0.000227771
2797,2021/11/5,50-59,274,0.000170427
2798,2021/11/5,60-69,178,0.000148878
2799,2021/11/5,70-79,96,9.71E-05
2800,2021/11/5,80-89,66,0.000107499
2801,2021/11/5,90+,19,0.000197542
3660,2021/11/6,45057,0,0
2802,2021/11/6,45279,588,0.000763476
2803,2021/11/6,20-29,232,0.000233195
2804,2021/11/6,30-39,335,0.000291817
2805,2021/11/6,40-49,257,0.000170663
2806,2021/11/6,50-59,204,0.000126887
2807,2021/11/6,60-69,104,8.70E-05
2808,2021/11/6,70-79,67,6.78E-05
2809,2021/11/6,80-89,38,6.19E-05
2810,2021/11/6,90+,5,5.20E-05
3661,2021/11/7,45057,0,0
2811,2021/11/7,45279,228,0.000296042
2812,2021/11/7,20-29,89,8.95E-05
2813,2021/11/7,30-39,93,8.10E-05
2814,2021/11/7,40-49,79,5.25E-05
2815,2021/11/7,50-59,62,3.86E-05
2816,2021/11/7,60-69,29,2.43E-05
2817,2021/11/7,70-79,17,1.72E-05
2818,2021/11/7,80-89,3,4.89E-06
2819,2021/11/7,90+,3,3.12E-05
3662,2021/11/8,45057,0,0
2820,2021/11/8,45279,618,0.000802429
2821,2021/11/8,20-29,353,0.000354818
2822,2021/11/8,30-39,434,0.000378056
2823,2021/11/8,40-49,361,0.000239724
2824,2021/11/8,50-59,277,0.000172293
2825,2021/11/8,60-69,180,0.000150551
2826,2021/11/8,70-79,130,0.000131547
2827,2021/11/8,80-89,63,0.000102612
2828,2021/11/8,90+,12,0.000124763
3663,2021/11/9,45057,0,0
2829,2021/11/9,45279,610,0.000792041
2830,2021/11/9,20-29,344,0.000345772
2831,2021/11/9,30-39,426,0.000371087
2832,2021/11/9,40-49,322,0.000213826
2833,2021/11/9,50-59,275,0.000171049
2834,2021/11/9,60-69,184,0.000153897
2835,2021/11/9,70-79,97,9.82E-05
2836,2021/11/9,80-89,64,0.000104241
2837,2021/11/9,90+,17,0.000176748
3664,2021/11/10,45057,0,0
2838,2021/11/10,45279,684,0.000888125
2839,2021/11/10,20-29,368,0.000369895
2840,2021/11/10,30-39,408,0.000355408
2841,2021/11/10,40-49,366,0.000243045
2842,2021/11/10,50-59,315,0.000195929
2843,2021/11/10,60-69,211,0.000176479
2844,2021/11/10,70-79,123,0.000124464
2845,2021/11/10,80-89,76,0.000123786
2846,2021/11/10,90+,23,0.00023913
3665,2021/11/11,45057,0,0
2847,2021/11/11,45279,620,0.000805025
2848,2021/11/11,20-29,396,0.00039804
2849,2021/11/11,30-39,447,0.00038938
2850,2021/11/11,40-49,390,0.000258982
2851,2021/11/11,50-59,298,0.000185355
2852,2021/11/11,60-69,186,0.00015557
2853,2021/11/11,70-79,125,0.000126487
2854,2021/11/11,80-89,47,7.66E-05
2855,2021/11/11,90+,22,0.000228733
3666,2021/11/12,45057,0,0
2856,2021/11/12,45279,645,0.000837486
2857,2021/11/12,20-29,310,0.000311597
2858,2021/11/12,30-39,413,0.000359763
2859,2021/11/12,40-49,365,0.000242381
2860,2021/11/12,50-59,257,0.000159853
2861,2021/11/12,60-69,196,0.000163933
2862,2021/11/12,70-79,93,9.41E-05
2863,2021/11/12,80-89,48,7.82E-05
2864,2021/11/12,90+,9,9.36E-05
3667,2021/11/13,45057,0,0
2865,2021/11/13,45279,628,0.000815413
2866,2021/11/13,20-29,257,0.000258324
2867,2021/11/13,30-39,344,0.000299657
2868,2021/11/13,40-49,273,0.000181287
2869,2021/11/13,50-59,218,0.000135595
2870,2021/11/13,60-69,116,9.70E-05
2871,2021/11/13,70-79,84,8.50E-05
2872,2021/11/13,80-89,32,5.21E-05
2873,2021/11/13,90+,5,5.20E-05
3668,2021/11/14,45057,0,0
2874,2021/11/14,45279,211,0.000273968
2875,2021/11/14,20-29,88,8.85E-05
2876,2021/11/14,30-39,119,0.000103661
2877,2021/11/14,40-49,96,6.37E-05
2878,2021/11/14,50-59,98,6.10E-05
2879,2021/11/14,60-69,48,4.01E-05
2880,2021/11/14,70-79,20,2.02E-05
2881,2021/11/14,80-89,15,2.44E-05
2882,2021/11/14,90+,2,2.08E-05
3669,2021/11/15,45057,0,0
2883,2021/11/15,45279,655,0.00085047
2884,2021/11/15,20-29,285,0.000286468
2885,2021/11/15,30-39,387,0.000337114
2886,2021/11/15,40-49,312,0.000207186
2887,2021/11/15,50-59,249,0.000154877
2888,2021/11/15,60-69,170,0.000142187
2889,2021/11/15,70-79,116,0.00011738
2890,2021/11/15,80-89,57,9.28E-05
2891,2021/11/15,90+,14,0.000145557
3670,2021/11/16,45057,0,0
2892,2021/11/16,45279,591,0.000767371
2893,2021/11/16,20-29,302,0.000303555
2894,2021/11/16,30-39,395,0.000344083
2895,2021/11/16,40-49,299,0.000198553
2896,2021/11/16,50-59,266,0.000165451
2897,2021/11/16,60-69,213,0.000178152
2898,2021/11/16,70-79,127,0.000128511
2899,2021/11/16,80-89,55,8.96E-05
2900,2021/11/16,90+,7,7.28E-05
3671,2021/11/17,45057,0,0
2901,2021/11/17,45279,583,0.000756984
2902,2021/11/17,20-29,314,0.000315617
2903,2021/11/17,30-39,422,0.000367603
2904,2021/11/17,40-49,302,0.000200545
2905,2021/11/17,50-59,278,0.000172915
2906,2021/11/17,60-69,165,0.000138005
2907,2021/11/17,70-79,128,0.000129523
2908,2021/11/17,80-89,54,8.80E-05
2909,2021/11/17,90+,15,0.000155954
3672,2021/11/18,45057,0,0
2910,2021/11/18,45279,603,0.000782952
2911,2021/11/18,20-29,302,0.000303555
2912,2021/11/18,30-39,376,0.000327532
2913,2021/11/18,40-49,361,0.000239724
2914,2021/11/18,50-59,288,0.000179135
2915,2021/11/18,60-69,219,0.000183171
2916,2021/11/18,70-79,134,0.000135595
2917,2021/11/18,80-89,71,0.000115643
2918,2021/11/18,90+,21,0.000218336
3673,2021/11/19,45057,0,0
2919,2021/11/19,45279,605,0.000785549
2920,2021/11/19,20-29,299,0.00030054
2921,2021/11/19,30-39,392,0.00034147
2922,2021/11/19,40-49,352,0.000233748
2923,2021/11/19,50-59,312,0.000194063
2924,2021/11/19,60-69,206,0.000172297
2925,2021/11/19,70-79,106,0.000107261
2926,2021/11/19,80-89,62,0.000100984
2927,2021/11/19,90+,14,0.000145557
3674,2021/11/20,45057,0,0
2928,2021/11/20,45279,626,0.000812816
2929,2021/11/20,20-29,227,0.000228169
2930,2021/11/20,30-39,302,0.000263071
2931,2021/11/20,40-49,278,0.000184608
2932,2021/11/20,50-59,220,0.000136839
2933,2021/11/20,60-69,124,0.000103713
2934,2021/11/20,70-79,75,7.59E-05
2935,2021/11/20,80-89,39,6.35E-05
2936,2021/11/20,90+,12,0.000124763
3675,2021/11/21,45057,0,0
2937,2021/11/21,45279,234,0.000303832
2938,2021/11/21,20-29,79,7.94E-05
2939,2021/11/21,30-39,124,0.000108016
2940,2021/11/21,40-49,107,7.11E-05
2941,2021/11/21,50-59,86,5.35E-05
2942,2021/11/21,60-69,50,4.18E-05
2943,2021/11/21,70-79,35,3.54E-05
2944,2021/11/21,80-89,9,1.47E-05
2945,2021/11/21,90+,3,3.12E-05
3676,2021/11/22,45057,0,0
2946,2021/11/22,45279,658,0.000854366
2947,2021/11/22,20-29,329,0.000330694
2948,2021/11/22,30-39,427,0.000371958
2949,2021/11/22,40-49,396,0.000262966
2950,2021/11/22,50-59,336,0.000208991
2951,2021/11/22,60-69,251,0.000209935
2952,2021/11/22,70-79,128,0.000129523
2953,2021/11/22,80-89,66,0.000107499
2954,2021/11/22,90+,19,0.000197542
3677,2021/11/23,45057,0,0
2955,2021/11/23,45279,635,0.000824502
2956,2021/11/23,20-29,338,0.000339741
2957,2021/11/23,30-39,417,0.000363247
2958,2021/11/23,40-49,365,0.000242381
2959,2021/11/23,50-59,320,0.000199039
2960,2021/11/23,60-69,241,0.000201571
2961,2021/11/23,70-79,146,0.000147737
2962,2021/11/23,80-89,66,0.000107499
2963,2021/11/23,90+,21,0.000218336
3678,2021/11/24,45057,0,0
2964,2021/11/24,45279,638,0.000828397
2965,2021/11/24,20-29,349,0.000350797
2966,2021/11/24,30-39,417,0.000363247
2967,2021/11/24,40-49,381,0.000253006
2968,2021/11/24,50-59,352,0.000218943
2969,2021/11/24,60-69,221,0.000184843
2970,2021/11/24,70-79,156,0.000157856
2971,2021/11/24,80-89,93,0.000151475
2972,2021/11/24,90+,22,0.000228733
3679,2021/11/25,45057,0,0
2973,2021/11/25,45279,780,0.001012774
2974,2021/11/25,20-29,395,0.000397034
2975,2021/11/25,30-39,493,0.000429451
2976,2021/11/25,40-49,471,0.000312771
2977,2021/11/25,50-59,400,0.000248799
2978,2021/11/25,60-69,251,0.000209935
2979,2021/11/25,70-79,140,0.000141666
2980,2021/11/25,80-89,96,0.000156362
2981,2021/11/25,90+,14,0.000145557
3680,2021/11/26,45057,0,0
2982,2021/11/26,45279,784,0.001017968
2983,2021/11/26,20-29,346,0.000347782
2984,2021/11/26,30-39,479,0.000417255
2985,2021/11/26,40-49,409,0.000271599
2986,2021/11/26,50-59,367,0.000228273
2987,2021/11/26,60-69,249,0.000208262
2988,2021/11/26,70-79,126,0.000127499
2989,2021/11/26,80-89,75,0.000122158
2990,2021/11/26,90+,17,0.000176748
3681,2021/11/27,45057,0,0
2991,2021/11/27,45279,857,0.001112753
2992,2021/11/27,20-29,286,0.000287473
2993,2021/11/27,30-39,400,0.000348439
2994,2021/11/27,40-49,357,0.000237068
2995,2021/11/27,50-59,303,0.000188465
2996,2021/11/27,60-69,201,0.000168115
2997,2021/11/27,70-79,86,8.70E-05
2998,2021/11/27,80-89,41,6.68E-05
2999,2021/11/27,90+,10,0.00010397
3682,2021/11/28,45057,0,0
3000,2021/11/28,45279,402,0.000521968
3001,2021/11/28,20-29,103,0.00010353
3002,2021/11/28,30-39,134,0.000116727
3003,2021/11/28,40-49,140,9.30E-05
3004,2021/11/28,50-59,118,7.34E-05
3005,2021/11/28,60-69,47,3.93E-05
3006,2021/11/28,70-79,34,3.44E-05
3007,2021/11/28,80-89,14,2.28E-05
3008,2021/11/28,90+,1,1.04E-05
3683,2021/11/29,45057,0,0
3009,2021/11/29,45279,1144,0.001485402
3010,2021/11/29,20-29,451,0.000453323
3011,2021/11/29,30-39,613,0.000533982
3012,2021/11/29,40-49,574,0.000381168
3013,2021/11/29,50-59,465,0.000289229
3014,2021/11/29,60-69,341,0.000285211
3015,2021/11/29,70-79,152,0.000153809
3016,2021/11/29,80-89,70,0.000114014
3017,2021/11/29,90+,23,0.00023913
3684,2021/11/30,45057,0,0
3018,2021/11/30,45279,1127,0.001463328
3019,2021/11/30,20-29,446,0.000448297
3020,2021/11/30,30-39,562,0.000489556
3021,2021/11/30,40-49,554,0.000367887
3022,2021/11/30,50-59,438,0.000272435
3023,2021/11/30,60-69,268,0.000224154
3024,2021/11/30,70-79,156,0.000157856
3025,2021/11/30,80-89,71,0.000115643
3026,2021/11/30,90+,25,0.000259924
3685,2021/12/1,45057,0,0
3027,2021/12/1,45279,1094,0.00142048
3028,2021/12/1,20-29,426,0.000428194
3029,2021/12/1,30-39,518,0.000451228
3030,2021/12/1,40-49,496,0.000329372
3031,2021/12/1,50-59,446,0.000277411
3032,2021/12/1,60-69,246,0.000205753
3033,2021/12/1,70-79,156,0.000157856
3034,2021/12/1,80-89,60,9.77E-05
3035,2021/12/1,90+,20,0.000207939
3686,2021/12/2,45057,0,0
3036,2021/12/2,45279,1120,0.001454239
3037,2021/12/2,20-29,366,0.000367885
3038,2021/12/2,30-39,514,0.000447744
3039,2021/12/2,40-49,493,0.00032738
3040,2021/12/2,50-59,442,0.000274923
3041,2021/12/2,60-69,286,0.000239209
3042,2021/12/2,70-79,157,0.000158868
3043,2021/12/2,80-89,78,0.000127044
3044,2021/12/2,90+,25,0.000259924
3687,2021/12/3,45057,0,0
3045,2021/12/3,45279,1148,0.001490595
3046,2021/12/3,20-29,352,0.000353813
3047,2021/12/3,30-39,504,0.000439033
3048,2021/12/3,40-49,494,0.000328044
3049,2021/12/3,50-59,401,0.000249421
3050,2021/12/3,60-69,268,0.000224154
3051,2021/12/3,70-79,143,0.000144702
3052,2021/12/3,80-89,69,0.000112385
3053,2021/12/3,90+,24,0.000249527
3688,2021/12/4,45057,0,0
3054,2021/12/4,45279,1274,0.001654197
3055,2021/12/4,20-29,352,0.000353813
3056,2021/12/4,30-39,471,0.000410287
3057,2021/12/4,40-49,476,0.000316091
3058,2021/12/4,50-59,362,0.000225163
3059,2021/12/4,60-69,221,0.000184843
3060,2021/12/4,70-79,124,0.000125476
3061,2021/12/4,80-89,59,9.61E-05
3062,2021/12/4,90+,12,0.000124763
3689,2021/12/5,45057,0,0
3063,2021/12/5,45279,860,0.001116648
3064,2021/12/5,20-29,258,0.000259329
3065,2021/12/5,30-39,295,0.000256974
3066,2021/12/5,40-49,310,0.000205858
3067,2021/12/5,50-59,243,0.000151145
3068,2021/12/5,60-69,135,0.000112913
3069,2021/12/5,70-79,72,7.29E-05
3070,2021/12/5,80-89,22,3.58E-05
3071,2021/12/5,90+,7,7.28E-05
3690,2021/12/6,45057,0,0
3072,2021/12/6,45279,1490,0.001934658
3073,2021/12/6,20-29,542,0.000544792
3074,2021/12/6,30-39,650,0.000566213
3075,2021/12/6,40-49,613,0.000407067
3076,2021/12/6,50-59,541,0.0003365
3077,2021/12/6,60-69,338,0.000282702
3078,2021/12/6,70-79,205,0.000207439
3079,2021/12/6,80-89,86,0.000140074
3080,2021/12/6,90+,14,0.000145557
3691,2021/12/7,45057,0,0
3081,2021/12/7,45279,1316,0.001708731
3082,2021/12/7,20-29,491,0.000493529
3083,2021/12/7,30-39,668,0.000581893
3084,2021/12/7,40-49,598,0.000397106
3085,2021/12/7,50-59,486,0.000302291
3086,2021/12/7,60-69,304,0.000254264
3087,2021/12/7,70-79,166,0.000167975
3088,2021/12/7,80-89,85,0.000138445
