Unnamed: 0,prename,week_end,sex,age,rV
45,British Columbia,2021-03-03,All sexes,18–69,0.001472615144383
46,British Columbia,2021-03-03,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-03-03,All sexes,80+,0.0090177088252777
44,British Columbia,2021-03-04,All sexes,0–17,1.301707840686981e-05
45,British Columbia,2021-03-04,All sexes,18–69,0.001472615144383
46,British Columbia,2021-03-04,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-03-04,All sexes,80+,0.0090177088252777
44,British Columbia,2021-03-05,All sexes,0–17,1.301707840686981e-05
45,British Columbia,2021-03-05,All sexes,18–69,0.001472615144383
46,British Columbia,2021-03-05,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-03-05,All sexes,80+,0.0090177088252777
44,British Columbia,2021-03-06,All sexes,0–17,1.301707840686981e-05
45,British Columbia,2021-03-06,All sexes,18–69,0.001472615144383
46,British Columbia,2021-03-06,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-03-06,All sexes,80+,0.0090177088252777
48,British Columbia,2021-03-07,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-07,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-07,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-07,All sexes,80+,0.0093983416626136
48,British Columbia,2021-03-08,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-08,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-08,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-08,All sexes,80+,0.0093983416626136
48,British Columbia,2021-03-09,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-09,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-09,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-09,All sexes,80+,0.0093983416626136
48,British Columbia,2021-03-10,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-10,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-10,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-10,All sexes,80+,0.0093983416626136
48,British Columbia,2021-03-11,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-11,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-11,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-11,All sexes,80+,0.0093983416626136
48,British Columbia,2021-03-12,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-12,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-12,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-12,All sexes,80+,0.0093983416626136
48,British Columbia,2021-03-13,All sexes,0–17,2.00262744721e-05
49,British Columbia,2021-03-13,All sexes,18–69,0.0022513471424266
50,British Columbia,2021-03-13,All sexes,70–79,0.0017253993855844
51,British Columbia,2021-03-13,All sexes,80+,0.0093983416626136
52,British Columbia,2021-03-14,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-14,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-14,All sexes,70–79,0.0041486833141761
55,British Columbia,2021-03-14,All sexes,80+,0.0417581746272298
52,British Columbia,2021-03-15,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-15,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-15,All sexes,70–79,0.0041486833141761
55,British Columbia,2021-03-15,All sexes,80+,0.0417581746272298
52,British Columbia,2021-03-16,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-16,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-16,All sexes,70–79,0.0041486833141761
55,British Columbia,2021-03-16,All sexes,80+,0.0417581746272298
52,British Columbia,2021-03-17,All sexes,0–17,1.1300540594974893e-05
53,British Columbia,2021-03-17,All sexes,18–69,0.0021825617118605
54,British Columbia,2021-03-17,All sexes,70–79,0.0041486833141761
