,prename,week_end,sex,age,rV
374,British Columbia,2021-11-27,All sexes,0–4,0.0
375,British Columbia,2021-11-27,All sexes,05–11,0.0
376,British Columbia,2021-11-27,All sexes,12–17,0.0014338166322729344
377,British Columbia,2021-11-27,All sexes,18–29,0.0030566524644608474
378,British Columbia,2021-11-27,All sexes,30–39,0.002695382776828801
379,British Columbia,2021-11-27,All sexes,40–49,0.002147238799302829
380,British Columbia,2021-11-27,All sexes,50–59,0.0011934348251981571
381,British Columbia,2021-11-27,All sexes,60–69,0.0014015808186172245
382,British Columbia,2021-11-27,All sexes,70–79,0.0014509040287869267
383,British Columbia,2021-11-27,All sexes,80+,0.003162541969469487
384,British Columbia,2021-12-04,All sexes,0–4,0.0
385,British Columbia,2021-12-04,All sexes,05–11,0.11171725518353463
386,British Columbia,2021-12-04,All sexes,12–17,0.0011849566026394477
387,British Columbia,2021-12-04,All sexes,18–29,0.0027114567398769268
388,British Columbia,2021-12-04,All sexes,30–39,0.0026213409366942267
389,British Columbia,2021-12-04,All sexes,40–49,0.002062439523730926
390,British Columbia,2021-12-04,All sexes,50–59,0.0012205259383149612
391,British Columbia,2021-12-04,All sexes,60–69,0.001416272441453883
392,British Columbia,2021-12-04,All sexes,70–79,0.0017171438861318961
393,British Columbia,2021-12-04,All sexes,80+,0.002885290890422385
394,British Columbia,2021-12-11,All sexes,0–4,0.0
395,British Columbia,2021-12-11,All sexes,05–11,0.16194609685558306
396,British Columbia,2021-12-11,All sexes,12–17,0.0010892412066265682
397,British Columbia,2021-12-11,All sexes,18–29,0.0027448627777398866
398,British Columbia,2021-12-11,All sexes,30–39,0.0022537296953243227
399,British Columbia,2021-12-11,All sexes,40–49,0.0020245827042791836
400,British Columbia,2021-12-11,All sexes,50–59,0.00115493692761112
401,British Columbia,2021-12-11,All sexes,60–69,0.001466223959098522
402,British Columbia,2021-12-11,All sexes,70–79,0.0016242695172906277
403,British Columbia,2021-12-11,All sexes,80+,0.0023871787823038625
404,British Columbia,2021-12-18,All sexes,0–4,0.0
405,British Columbia,2021-12-18,All sexes,05–11,0.1251308669509304
406,British Columbia,2021-12-18,All sexes,12–17,0.0011026413620683715
407,British Columbia,2021-12-18,All sexes,18–29,0.002627941645219526
408,British Columbia,2021-12-18,All sexes,30–39,0.0025408041983022334
409,British Columbia,2021-12-18,All sexes,40–49,0.0019700688842686745
410,British Columbia,2021-12-18,All sexes,50–59,0.0010779411324370453
411,British Columbia,2021-12-18,All sexes,60–69,0.0018202920694619928
412,British Columbia,2021-12-18,All sexes,70–79,0.001904956498677572
413,British Columbia,2021-12-18,All sexes,80+,0.003162541969469487
414,British Columbia,2021-12-25,All sexes,0–4,0.0
415,British Columbia,2021-12-25,All sexes,05–11,0.07967139860167911
416,British Columbia,2021-12-25,All sexes,12–17,0.0012098426056027965
417,British Columbia,2021-12-25,All sexes,18–29,0.009238161387352752
418,British Columbia,2021-12-25,All sexes,30–39,0.0029733644222463256
419,British Columbia,2021-12-25,All sexes,40–49,0.002884689642222771
420,British Columbia,2021-12-25,All sexes,50–59,0.0024424777246887016
421,British Columbia,2021-12-25,All sexes,60–69,0.0026679987071371904
422,British Columbia,2021-12-25,All sexes,70–79,0.0021588131068437056
423,British Columbia,2021-12-25,All sexes,80+,0.004591089902186759
424,British Columbia,2022-01-01,All sexes,0–4,0.0
425,British Columbia,2022-01-01,All sexes,05–11,0.04522681599204168
426,British Columbia,2022-01-01,All sexes,12–17,0.00022780264251065312
