data,agegroup,n
2021-05-01,3.0,159
2021-05-01,4.0,223
2021-05-01,5.0,319
2021-05-01,6.0,489
2021-05-01,7.0,19089
2021-05-01,8.0,274
2021-05-01,9.0,65
2021-05-01,10.0,19
2021-05-02,2.0,10
2021-05-02,3.0,38
2021-05-02,4.0,70
2021-05-02,5.0,80
2021-05-02,6.0,146
2021-05-02,7.0,14110
2021-05-02,8.0,105
2021-05-02,9.0,17
2021-05-02,10.0,4
2021-05-03,1.0,2
2021-05-03,2.0,113
2021-05-03,3.0,1425
2021-05-03,4.0,1554
2021-05-03,5.0,1689
2021-05-03,6.0,1828
2021-05-03,7.0,71270
2021-05-03,8.0,1138
2021-05-03,9.0,237
2021-05-03,10.0,45
2021-05-04,1.0,5
