,C1M_School.closing,Date,datetime
460,3,20210405,2021/4/5
461,2,20210406,2021/4/6
462,2,20210407,2021/4/7
463,2,20210408,2021/4/8
464,2,20210409,2021/4/9
465,2,20210410,2021/4/10
466,2,20210411,2021/4/11
467,2,20210412,2021/4/12
468,2,20210413,2021/4/13
469,2,20210414,2021/4/14
470,2,20210415,2021/4/15
471,2,20210416,2021/4/16
472,2,20210417,2021/4/17
473,2,20210418,2021/4/18
474,2,20210419,2021/4/19
475,2,20210420,2021/4/20
476,2,20210421,2021/4/21
477,2,20210422,2021/4/22
478,2,20210423,2021/4/23
479,2,20210424,2021/4/24
480,2,20210425,2021/4/25
481,2,20210426,2021/4/26
482,2,20210427,2021/4/27
483,2,20210428,2021/4/28
484,2,20210429,2021/4/29
485,2,20210430,2021/4/30
486,2,20210501,2021/5/1
487,2,20210502,2021/5/2
488,2,20210503,2021/5/3
489,2,20210504,2021/5/4
490,2,20210505,2021/5/5
491,2,20210506,2021/5/6
492,2,20210507,2021/5/7
493,2,20210508,2021/5/8
494,2,20210509,2021/5/9
495,1,20210510,2021/5/10
496,1,20210511,2021/5/11
497,1,20210512,2021/5/12
498,1,20210513,2021/5/13
499,1,20210514,2021/5/14
500,1,20210515,2021/5/15
501,1,20210516,2021/5/16
502,1,20210517,2021/5/17
503,1,20210518,2021/5/18
504,1,20210519,2021/5/19
505,1,20210520,2021/5/20
506,1,20210521,2021/5/21
507,1,20210522,2021/5/22
508,1,20210523,2021/5/23
509,1,20210524,2021/5/24
510,1,20210525,2021/5/25
511,1,20210526,2021/5/26
512,1,20210527,2021/5/27
513,1,20210528,2021/5/28
514,1,20210529,2021/5/29
515,1,20210530,2021/5/30
516,1,20210531,2021/5/31
517,1,20210601,2021/6/1
518,1,20210602,2021/6/2
519,1,20210603,2021/6/3
520,1,20210604,2021/6/4
521,1,20210605,2021/6/5
522,1,20210606,2021/6/6
523,1,20210607,2021/6/7
524,1,20210608,2021/6/8
525,1,20210609,2021/6/9
526,1,20210610,2021/6/10
527,1,20210611,2021/6/11
528,1,20210612,2021/6/12
529,1,20210613,2021/6/13
530,1,20210614,2021/6/14
531,1,20210615,2021/6/15
532,1,20210616,2021/6/16
533,1,20210617,2021/6/17
534,1,20210618,2021/6/18
535,1,20210619,2021/6/19
536,1,20210620,2021/6/20
537,1,20210621,2021/6/21
538,1,20210622,2021/6/22
539,1,20210623,2021/6/23
540,1,20210624,2021/6/24
541,1,20210625,2021/6/25
542,1,20210626,2021/6/26
543,1,20210627,2021/6/27
544,1,20210628,2021/6/28
545,1,20210629,2021/6/29
546,1,20210630,2021/6/30
547,1,20210701,2021/7/1
548,1,20210702,2021/7/2
549,1,20210703,2021/7/3
550,1,20210704,2021/7/4
551,1,20210705,2021/7/5
552,1,20210706,2021/7/6
553,1,20210707,2021/7/7
554,1,20210708,2021/7/8
555,1,20210709,2021/7/9
556,1,20210710,2021/7/10
557,1,20210711,2021/7/11
558,1,20210712,2021/7/12
559,1,20210713,2021/7/13
560,3,20210714,2021/7/14
561,3,20210715,2021/7/15
562,3,20210716,2021/7/16
563,3,20210717,2021/7/17
564,3,20210718,2021/7/18
565,3,20210719,2021/7/19
566,3,20210720,2021/7/20
567,3,20210721,2021/7/21
568,3,20210722,2021/7/22
569,3,20210723,2021/7/23
570,3,20210724,2021/7/24
571,3,20210725,2021/7/25
572,3,20210726,2021/7/26
573,3,20210727,2021/7/27
574,3,20210728,2021/7/28
575,3,20210729,2021/7/29
576,1,20210730,2021/7/30
577,1,20210731,2021/7/31
578,1,20210801,2021/8/1
579,1,20210802,2021/8/2
580,1,20210803,2021/8/3
581,1,20210804,2021/8/4
582,1,20210805,2021/8/5
583,1,20210806,2021/8/6
584,1,20210807,2021/8/7
585,1,20210808,2021/8/8
586,1,20210809,2021/8/9
587,1,20210810,2021/8/10
588,1,20210811,2021/8/11
589,1,20210812,2021/8/12
590,1,20210813,2021/8/13
591,1,20210814,2021/8/14
592,1,20210815,2021/8/15
593,1,20210816,2021/8/16
594,1,20210817,2021/8/17
595,1,20210818,2021/8/18
596,1,20210819,2021/8/19
