prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2021-10-23,All sexes,80+,239351
British Columbia,2021-10-30,All sexes,0–4,0
British Columbia,2021-10-30,All sexes,05–11,5061
British Columbia,2021-10-30,All sexes,12–17,261990
British Columbia,2021-10-30,All sexes,18–29,720719
British Columbia,2021-10-30,All sexes,30–39,662644
British Columbia,2021-10-30,All sexes,40–49,579611
British Columbia,2021-10-30,All sexes,50–59,623599
British Columbia,2021-10-30,All sexes,60–69,624606
British Columbia,2021-10-30,All sexes,70–79,432399
British Columbia,2021-10-30,All sexes,80+,240124
British Columbia,2021-11-06,All sexes,0–4,0
British Columbia,2021-11-06,All sexes,05–11,4488
British Columbia,2021-11-06,All sexes,12–17,263293
British Columbia,2021-11-06,All sexes,18–29,724243
British Columbia,2021-11-06,All sexes,30–39,665912
British Columbia,2021-11-06,All sexes,40–49,581729
British Columbia,2021-11-06,All sexes,50–59,625072
British Columbia,2021-11-06,All sexes,60–69,625772
British Columbia,2021-11-06,All sexes,70–79,433246
British Columbia,2021-11-06,All sexes,80+,240853
British Columbia,2021-11-13,All sexes,0–4,0
British Columbia,2021-11-13,All sexes,05–11,3876
British Columbia,2021-11-13,All sexes,12–17,264189
British Columbia,2021-11-13,All sexes,18–29,727179
British Columbia,2021-11-13,All sexes,30–39,668718
British Columbia,2021-11-13,All sexes,40–49,583354
British Columbia,2021-11-13,All sexes,50–59,626146
British Columbia,2021-11-13,All sexes,60–69,626805
British Columbia,2021-11-13,All sexes,70–79,434068
British Columbia,2021-11-13,All sexes,80+,241558
British Columbia,2021-11-20,All sexes,0–4,0
British Columbia,2021-11-20,All sexes,05–11,3283
British Columbia,2021-11-20,All sexes,12–17,264988
British Columbia,2021-11-20,All sexes,18–29,729610
British Columbia,2021-11-20,All sexes,30–39,671002
British Columbia,2021-11-20,All sexes,40–49,584800
British Columbia,2021-11-20,All sexes,50–59,627008
British Columbia,2021-11-20,All sexes,60–69,627715
British Columbia,2021-11-20,All sexes,70–79,434955
British Columbia,2021-11-20,All sexes,80+,242183
British Columbia,2021-11-27,All sexes,0–4,0
British Columbia,2021-11-27,All sexes,05–11,2686
British Columbia,2021-11-27,All sexes,12–17,265737
British Columbia,2021-11-27,All sexes,18–29,731806
British Columbia,2021-11-27,All sexes,30–39,673077
British Columbia,2021-11-27,All sexes,40–49,586218
British Columbia,2021-11-27,All sexes,50–59,627845
British Columbia,2021-11-27,All sexes,60–69,628669
British Columbia,2021-11-27,All sexes,70–79,435658
British Columbia,2021-11-27,All sexes,80+,242856
British Columbia,2021-12-04,All sexes,0–4,0
British Columbia,2021-12-04,All sexes,05–11,30537
British Columbia,2021-12-04,All sexes,12–17,266356
British Columbia,2021-12-04,All sexes,18–29,733754
British Columbia,2021-12-04,All sexes,30–39,675095
British Columbia,2021-12-04,All sexes,40–49,587580
British Columbia,2021-12-04,All sexes,50–59,628701
British Columbia,2021-12-04,All sexes,60–69,629633
British Columbia,2021-12-04,All sexes,70–79,436490
British Columbia,2021-12-04,All sexes,80+,243470
British Columbia,2021-12-11,All sexes,0–4,0
British Columbia,2021-12-11,All sexes,05–11,70910
British Columbia,2021-12-11,All sexes,12–17,266925
British Columbia,2021-12-11,All sexes,18–29,735726
British Columbia,2021-12-11,All sexes,30–39,676830
British Columbia,2021-12-11,All sexes,40–49,588917
British Columbia,2021-12-11,All sexes,50–59,629511
British Columbia,2021-12-11,All sexes,60–69,630631
British Columbia,2021-12-11,All sexes,70–79,437277
British Columbia,2021-12-11,All sexes,80+,243978
British Columbia,2021-12-18,All sexes,0–4,0
British Columbia,2021-12-18,All sexes,05–11,102105
British Columbia,2021-12-18,All sexes,12–17,267501
British Columbia,2021-12-18,All sexes,18–29,737614
British Columbia,2021-12-18,All sexes,30–39,678786
British Columbia,2021-12-18,All sexes,40–49,590218
British Columbia,2021-12-18,All sexes,50–59,630267
British Columbia,2021-12-18,All sexes,60–69,631870
British Columbia,2021-12-18,All sexes,70–79,438200
British Columbia,2021-12-18,All sexes,80+,244651
British Columbia,2021-12-25,All sexes,0–4,0
