,C1M_School.closing,datetime
926,0,2022/7/15
927,0,2022/7/16
928,0,2022/7/17
929,0,2022/7/18
930,0,2022/7/19
931,0,2022/7/20
932,0,2022/7/21
933,0,2022/7/22
934,0,2022/7/23
935,0,2022/7/24
936,0,2022/7/25
937,0,2022/7/26
938,0,2022/7/27
939,0,2022/7/28
940,0,2022/7/29
941,0,2022/7/30
942,0,2022/7/31
943,0,2022/8/1
944,0,2022/8/2
945,0,2022/8/3
946,0,2022/8/4
947,0,2022/8/5
948,0,2022/8/6
949,0,2022/8/7
950,0,2022/8/8
951,0,2022/8/9
952,0,2022/8/10
953,0,2022/8/11
954,0,2022/8/12
955,0,2022/8/13
956,0,2022/8/14
957,0,2022/8/15
958,0,2022/8/16
959,0,2022/8/17
960,0,2022/8/18
961,0,2022/8/19
962,0,2022/8/20
963,0,2022/8/21
964,0,2022/8/22
965,0,2022/8/23
966,0,2022/8/24
967,0,2022/8/25
968,0,2022/8/26
969,0,2022/8/27
970,0,2022/8/28
971,0,2022/8/29
972,0,2022/8/30
973,0,2022/8/31
974,0,2022/9/1
975,0,2022/9/2
976,0,2022/9/3
977,0,2022/9/4
978,0,2022/9/5
979,0,2022/9/6
980,0,2022/9/7
981,0,2022/9/8
982,0,2022/9/9
983,0,2022/9/10
984,0,2022/9/11
985,0,2022/9/12
986,0,2022/9/13
987,0,2022/9/14
988,0,2022/9/15
989,0,2022/9/16
990,0,2022/9/17
991,0,2022/9/18
992,0,2022/9/19
993,0,2022/9/20
994,0,2022/9/21
995,0,2022/9/22
996,0,2022/9/23
997,0,2022/9/24
998,0,2022/9/25
999,0,2022/9/26
1000,0,2022/9/27
1001,0,2022/9/28
1002,0,2022/9/29
1003,0,2022/9/30
1004,0,2022/10/1
1005,0,2022/10/2
1006,0,2022/10/3
1007,0,2022/10/4
1008,0,2022/10/5
1009,0,2022/10/6
1010,0,2022/10/7
1011,0,2022/10/8
1012,0,2022/10/9
1013,0,2022/10/10
1014,0,2022/10/11
1015,0,2022/10/12
1016,0,2022/10/13
1017,0,2022/10/14
1018,0,2022/10/15
1019,0,2022/10/16
1020,0,2022/10/17
1021,0,2022/10/18
1022,0,2022/10/19
1023,0,2022/10/20
1024,0,2022/10/21
1025,0,2022/10/22
1026,0,2022/10/23
1027,0,2022/10/24
1028,0,2022/10/25
1029,0,2022/10/26
1030,0,2022/10/27
1031,0,2022/10/28
1032,0,2022/10/29
1033,0,2022/10/30
1034,0,2022/10/31
1035,0,2022/11/1
1036,0,2022/11/2
1037,0,2022/11/3
1038,0,2022/11/4
1039,0,2022/11/5
1040,0,2022/11/6
1041,0,2022/11/7
1042,0,2022/11/8
1043,0,2022/11/9
1044,0,2022/11/10
1045,0,2022/11/11
1046,0,2022/11/12
1047,0,2022/11/13
1048,0,2022/11/14
1049,0,2022/11/15
1050,0,2022/11/16
1051,0,2022/11/17
1052,0,2022/11/18
1053,0,2022/11/19
1054,0,2022/11/20
1055,0,2022/11/21
1056,0,2022/11/22
1057,0,2022/11/23
1058,0,2022/11/24
1059,0,2022/11/25
1060,0,2022/11/26
1061,0,2022/11/27
1062,0,2022/11/28
1063,0,2022/11/29
1064,0,2022/11/30
1065,0,2022/12/1
1066,0,2022/12/2
1067,0,2022/12/3
1068,0,2022/12/4
1069,0,2022/12/5
1070,0,2022/12/6
1071,0,2022/12/7
1072,0,2022/12/8
1073,0,2022/12/9
1074,0,2022/12/10
1075,0,2022/12/11
1076,0,2022/12/12
1077,0,2022/12/13
1078,0,2022/12/14
1079,0,2022/12/15
1080,0,2022/12/16
1081,0,2022/12/17
1082,0,2022/12/18
1083,0,2022/12/19
1084,0,2022/12/20
1085,0,2022/12/21
1086,0,2022/12/22
1087,0,2022/12/23
1088,0,2022/12/24
1089,0,2022/12/25
1090,0,2022/12/26
1091,0,2022/12/27
1092,0,2022/12/28
1093,0,2022/12/29
1094,0,2022/12/30
1095,0,2022/12/31
