id,Alpha_increase,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9182,2.345223472745853,58.0,1.6432606309914253,0.008410485692430617,0.19325265529291327,6.0,18.0
9183,2.0530562667731926,51.0,1.6737009755151968,0.001753440231612983,0.21409069272246617,0.0,11.0
9184,2.2359603450179386,46.0,1.6891143793094188,0.001499521974887997,0.1631734596462022,3.0,23.0
9185,2.3658474550106416,61.0,1.736445667200903,0.004758208962047325,0.19479199645338802,3.0,10.0
9186,2.199471124376053,63.0,1.5664670089033854,0.005823958623333856,0.14597983458645505,5.0,14.0
9187,2.1582961105548155,52.0,1.4515507325556927,0.0035561536324716023,0.10768725479167401,2.0,5.0
9188,2.388777324979985,53.0,1.6261156957263665,0.00512315214254702,0.1533688848740257,3.0,16.0
9189,2.4394427822900147,52.0,1.7488600886429573,0.008591568468751726,0.19174015476272444,7.0,21.0
9190,2.356438102307109,39.0,1.513314812538805,0.006781733376800722,0.12743603577522458,6.0,26.0
9191,2.399614606720132,25.0,1.6320538826918423,0.0036631121999048675,0.1651167164833333,7.0,42.0
9192,2.296547514252998,58.0,1.5300529645807777,0.0045745373217413645,0.13395329832596997,2.0,5.0
9193,2.373405684858029,50.0,1.7633651741778298,0.005877864499854845,0.2580313627055363,3.0,10.0
9194,1.9489083455247942,44.0,1.5778562224927801,0.0033593175627609187,0.1401225036710509,5.0,11.0
9195,2.3996786857545023,41.0,1.5651295235412932,0.005258829234379834,0.11548731395465818,6.0,20.0
9196,1.9722764796221868,61.0,1.5985649721776236,0.007760594680698321,0.16805712250218705,4.0,6.0
9197,2.468573728344659,47.0,1.6829487792253977,0.003988620245902385,0.1535814876266974,5.0,37.0
9198,2.002420904515806,49.0,1.5913586056953752,0.005893070633322789,0.17936019051225735,5.0,14.0
9199,2.2950921116953458,59.0,1.7446089897375832,0.006507084415094635,0.22056550887037218,6.0,11.0
9200,2.165458132517732,58.0,1.5805332471870148,0.0048136661399916444,0.16869877989757848,4.0,16.0
9201,2.4283136235061886,46.0,1.7316892602647194,0.006620365872043518,0.2164923158050711,7.0,31.0
9202,2.2934348139356406,44.0,1.6167350475501356,0.009303982769486555,0.17985950937148965,7.0,17.0
9203,2.4079860102925363,53.0,1.5461364044211132,0.005234595262178026,0.15099955789738212,2.0,10.0
9204,2.240548947453949,53.0,1.6290515030089698,0.001957141344176846,0.14896404025405519,1.0,8.0
9205,2.3017927157376894,56.0,1.8318717310798807,0.006971285492863502,0.23838229173290734,6.0,26.0
9206,2.3741268316360307,49.0,1.770845938356096,0.004321777888155373,0.22324806547058856,4.0,24.0
9207,2.4639081841528134,61.0,1.599912930242168,0.0037152705138060655,0.12541721030641542,3.0,30.0
9208,2.228004649010465,58.0,1.5710434296125075,0.007004093873585701,0.15823759676253757,7.0,26.0
9209,2.066701132934363,55.0,1.5799609447288734,0.008095797569080684,0.1207337463899392,5.0,4.0
9210,2.4177455869151894,46.0,1.7589890655616822,0.0044076463614617775,0.24158146560125573,5.0,28.0
9211,2.0994308430657878,56.0,1.518302752403902,0.002901637032815381,0.10136984907796026,4.0,30.0
9212,2.3805600679810985,47.0,1.7386063900568882,0.0049127507083320185,0.1983528989819494,5.0,33.0
9213,2.197574354794307,58.0,1.7488413793502156,0.006159852956869417,0.23409121891815698,5.0,22.0
9214,2.24314062734385,46.0,1.5430365055735835,0.00883004510714691,0.17491827968094703,6.0,20.0
9215,2.1319960551089907,62.0,1.783618516868694,0.002187384495121194,0.27283764272642047,0.0,3.0
9216,2.303096159492468,61.0,1.856154545346166,0.0032102020872306542,0.26277289483873023,4.0,14.0
9217,2.3165239989895015,48.0,1.7520809373216668,0.009443883009253482,0.22136085875058145,7.0,18.0
9218,2.210033810619335,37.0,1.691073718847315,0.002386814142014432,0.13750085674583473,6.0,26.0
9219,2.1975029347193695,57.0,1.6609241843262428,0.006367741298933386,0.17146278139377422,6.0,28.0
9220,2.1064248711419893,61.0,1.590753585692481,0.006505608072183955,0.14326244062840798,4.0,25.0
9221,2.140874051017882,51.0,1.4579510189763498,0.006787044920592129,0.11841717408496524,2.0,0.0
9222,2.2704281229870413,53.0,1.574348896649733,0.0017367994072746246,0.151281237780219,1.0,25.0
9223,2.246531417455879,55.0,1.6129955393101818,0.007982055169940383,0.1843187109812801,5.0,21.0
9224,2.412875980613234,57.0,1.9616626378722994,0.006861907945101569,0.3199052142046431,5.0,15.0
9225,2.4585329261173787,48.0,1.6794924657857397,0.008753402552485714,0.16687435418484753,6.0,17.0
9226,2.3148265174527918,42.0,1.5523320433561612,0.005006623450901319,0.10347500929604707,5.0,27.0
9227,2.1162301384334277,51.0,1.5612015411324152,0.0006401278880152698,0.10768694732631792,1.0,27.0
9228,2.216773050034985,62.0,1.7508421447286449,0.012680751697861814,0.2517612481616035,5.0,0.0
9229,2.098873320233749,54.0,1.5740596252794063,0.009882926609526808,0.12831068090393688,7.0,15.0
9230,2.1640588658422737,48.0,1.5351188498299715,0.004418468080016177,0.15316468333931993,3.0,27.0
9231,2.1024837291751144,32.0,1.58269165282688,0.0007586189757162114,0.12576436917109543,2.0,33.0
9232,2.3459151660656383,51.0,1.8474390388156174,0.0034570843922501386,0.2634314651744522,2.0,15.0
9233,2.1097567918917406,46.0,1.4668275747353947,0.0037262406170627616,0.1282360201837944,2.0,12.0
9234,1.9674448684896015,40.0,1.636641437255371,0.005270954426192306,0.1758022025239304,7.0,16.0
9235,2.4109350060349035,54.0,1.6006503483888352,0.005474957413652587,0.1553901595073065,4.0,27.0
9236,2.0735943756627653,61.0,1.464417858895108,0.011395438108190945,0.10137362663768139,6.0,28.0
9237,2.244264402041285,50.0,1.8335857377716538,0.0008877760808229079,0.22443913049439834,1.0,16.0
9238,2.3676450424034945,62.0,1.6203296248655292,0.011379418386706901,0.17671969284568564,4.0,9.0
9239,2.151161751500998,47.0,1.5584332965950245,0.00916229937672559,0.16905594787306014,6.0,17.0
9240,2.2691768649186845,36.0,1.5922929577889982,0.0021074828472441303,0.13266757212377087,4.0,17.0
9241,2.470786378836224,58.0,1.703528090768067,0.005506989348930165,0.1984183381812566,5.0,14.0
9242,2.336022642112051,54.0,1.6342853097367747,0.010029702556864655,0.17283356559724466,5.0,11.0
9243,2.443352672640846,52.0,1.5653088845554401,0.0023791401378650138,0.13666665395827013,3.0,30.0
9244,2.4300636688607313,54.0,1.5964679222292533,0.009056180218404042,0.16403435142664516,7.0,33.0
9245,2.418234269719545,52.0,1.673956582554175,0.010752152274625733,0.1464153688606634,7.0,18.0
9246,2.4781355969470225,60.0,1.597280431167778,0.0071530311057250336,0.15294561691513453,5.0,31.0
9247,1.946204809943038,57.0,1.523746765956805,0.0042716786568613,0.1425908840962083,2.0,12.0
9248,2.107064608785503,55.0,1.7359842223900601,0.003732926900538353,0.17789292896830194,5.0,8.0
9249,2.4487149969149606,56.0,1.540982775685806,0.002936576095732511,0.11129098374681126,2.0,26.0
9250,2.420817814115988,44.0,1.6124536098073043,0.006428761605987223,0.16056659012668445,5.0,19.0
9251,2.0770829651093377,34.0,1.6064424855126558,0.005251628347519927,0.1900668162006551,6.0,18.0
9252,2.388786864404323,63.0,1.5356837960148504,0.00495879455196226,0.1319530986391487,3.0,41.0
9253,2.3505701457083004,49.0,1.6694589244958025,0.006799896889753691,0.16797218265907676,6.0,19.0
9254,2.1345553284347942,62.0,1.5957361610542788,0.0022718509335312147,0.12332225159179576,2.0,16.0
9255,2.023631798902211,47.0,1.5457890733519402,0.0009708602490883809,0.1217173994289219,2.0,14.0
9256,2.434509259923928,59.0,1.717028559653418,0.002558537744771661,0.22085245773196377,2.0,13.0
9257,2.242092602662199,38.0,1.5865359047728342,0.0027580865768123,0.12938830179430283,6.0,39.0
9258,2.200270763616342,60.0,1.4799613345415976,0.010801199424677591,0.126382935119374,6.0,24.0
9259,2.3275919658333346,56.0,1.5265736201070665,0.008703433972977055,0.140016807915551,6.0,25.0
9260,2.380095900561468,54.0,1.6702506429275419,0.010796451001981285,0.1845584312513877,7.0,26.0
9261,2.2483656473706204,49.0,1.6303326051344975,0.004433006123040217,0.11113707355937494,6.0,23.0
9262,2.2843348556961964,60.0,1.7663460991420539,0.0030190139187087975,0.24138561870811362,2.0,13.0
9263,2.410372314582231,46.0,1.6525264689504988,0.0031956607280840283,0.16897719959173504,3.0,23.0
9264,2.429053790107867,63.0,1.6755469976961144,0.0014418205081829422,0.14754819698963081,2.0,17.0
9265,2.4642111271987646,50.0,1.685175489894282,0.0013310880757342344,0.1807686842510437,1.0,27.0
9266,2.102694284773693,55.0,1.5379317621129027,0.002370454610720734,0.16680822715092997,0.0,10.0
9267,2.2024575052917235,46.0,1.845428917191508,0.005893220345790419,0.25676252576880765,5.0,4.0
9268,2.438973025294544,55.0,1.6219969164088806,0.0026065709482078646,0.168500058706861,3.0,42.0
9269,2.329718766025409,58.0,1.500465177836743,0.002966350682495,0.1119923424605497,0.0,7.0
9270,2.450722927043044,54.0,2.0147073942396663,0.005361277151173378,0.26962929946347713,5.0,12.0
9271,2.191208722571586,49.0,1.6043595344398787,0.005780906226468426,0.14279296025267768,7.0,20.0
9272,2.1541701637391717,49.0,1.679293958325827,0.0013651542535837136,0.18272239168321483,2.0,17.0
9273,2.107154075265742,60.0,1.7761851088843443,0.0044469143469445865,0.23637969094664674,5.0,11.0
9274,2.3272721278761295,58.0,1.6482809422421378,0.011224916772202156,0.18636978706727086,5.0,19.0
9275,1.9948873602603328,60.0,1.5724994936703907,0.008080355179817405,0.2054033946552729,5.0,1.0
9276,1.8809993518260815,57.0,1.5363583510346868,0.007797218373810733,0.17558149727401404,5.0,1.0
9277,2.1904511886876534,54.0,1.6192011738231364,0.00612222765271493,0.13565996294147104,5.0,25.0
9278,2.1574635489170815,55.0,1.695943878706925,0.009374220435716242,0.20193066641141882,6.0,19.0
